id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
UgzZNGx68NlWzVOYE3N4AaABAg,2024-06-03T12:37:15Z,@rahmatanggawijaya978,"Kalo penjelasannya gitu itu namanya pemerintah mau buat tabungan investasi yg dikelola pihak manajemen investasi seperti Reksadana kah?
Lalu kenapa diharuskan?
Kan itu hak perorangan mau ikut atau tidak?
Lalu dimana HAM (Hak Asasi Manusia)-nya jika diharuskan?
Yang namanya tabungan itu pilihan bukan keharusan.
Dan juga bagaimana untuk para pekerja swasta e-commerce yg belum menjadi pegawai tetap?
Bukankah ketika mereka bekerja sesuai kontrak yang sudah ditandatangani misal pembaharuan pertahun jika dikatakan minimal 12 bulan lalu diikutkan dan 3 tahun kemudian keluar dari kerja atau tidak diperpanjang masa kerjanya lalu gimana uangnya bisa dikembalikan kah?
Setelah itu ketika yang bersangkutan meninggal dimasa adanya tabungan Tapera bagaimana apakah tabungannya dapat dicairkan?
Lalu jika memang pemerintah mau buat seperti Reksadana kenapa gak make tabungan lainnya yg telah dikelola, kenapa harus buat baru kembali?
Yang terlihat bukan membuat wadah demi masyarakat menjadi lebih baik tetapi membuat wadah demi kepentingan"" orang atas?
Tabungan 3% dari gaji, dengan laju properti sama aja bohong gak akan dapat apa"".
Di kota kota besar yg pendapatan 5 JT katakanlah iuran 200rb perbulan berarti 1 tahun dapat 2,4jt katakanlah masa kerja 30 tahun berarti 30 tahun yang akan datang dapat 72jt katakanlah + bungan 100jt.
30 tahun yg akan datang uang 100jt dapet rumah gak pak?
Tolong dikaji lebih lanjut, kasihan para masyarakat yg berpenghasilan   rendah.",Thread,http://www.youtube.com/@rahmatanggawijaya978,UC6Nz-f0qwBYs9qeDVhWUuPg,2024-06-03T12:37:15Z,,,,1
Ugya5BXN2r7AJ4JKRU94AaABAg,2024-06-03T12:35:00Z,@user-wz9eb3eh3v,Kebijakan ini sangat merugikan rakyat,Thread,http://www.youtube.com/@user-wz9eb3eh3v,UCODfh7rlzwteQ2V_NHZ6ITA,2024-06-03T12:35:00Z,,,,0
UgxJnWVzCvjLbdWOgkF4AaABAg,2024-06-03T12:32:47Z,@najihanwar4061,"para kuroptor digantung dan uangnya digunakan untuk mensubsidi pembelian rumah 
ke masyarakat yang belum punya rumah",Thread,http://www.youtube.com/@najihanwar4061,UCs65M8YRR1mMBDBDdZeGBUw,2024-06-03T12:32:47Z,,,,0
Ugx5xB-IwxXA4BYHmaR4AaABAg,2024-06-03T12:03:04Z,@jakadaryana7352,"Tapera sangat membenani rakyat yg tidak dan tak pernah dibiayai negara, seperti pata asn",Thread,http://www.youtube.com/@jakadaryana7352,UCtisjMcm1Q5Ox1_iXhC5EPQ,2024-06-03T12:03:04Z,,,,0
Ugyuk5KdXO5Vz5jbSnt4AaABAg,2024-06-03T11:59:11Z,@anamaryadi5992,Stres yg punya ide tapera,Thread,http://www.youtube.com/@anamaryadi5992,UCMlpOAxBn6lg9pa_dbX6qXw,2024-06-03T11:59:11Z,,,,0
UgwBfvHxc35tgPUk2FV4AaABAg,2024-06-03T11:56:52Z,@rudipresdianto5869,"Pemerintah kita ini, nipu masyarakat susah, ganti pemimpin, ganti sistim, apa jadinya pemerintah kita ini, dah susah, dibikin susah,",Thread,http://www.youtube.com/@rudipresdianto5869,UCZ0phD2c6VAvrHIFTfT3xSg,2024-06-03T11:56:52Z,,,,0
UgxbtjXf-BjL_L4Dyux4AaABAg,2024-06-03T11:56:50Z,@lamboksahattambunan4950,7😊,Thread,http://www.youtube.com/@lamboksahattambunan4950,UCWtLvtFTFSpVWBKWmV1DW_Q,2024-06-03T11:56:50Z,,,,0
UgzmMX49S19Qosi9z1J4AaABAg,2024-06-03T11:56:18Z,@agusbsuta9578,Tapera utk pendukung 02 yg fi iuran seluruh pekerja,Thread,http://www.youtube.com/@agusbsuta9578,UCmLv10XIxwo8rWhCfKhwYAw,2024-06-03T11:56:18Z,,,,0
UgxsoQUCP4bBWWUKOJl4AaABAg,2024-06-03T11:55:26Z,@AK-ee8cb,Dasar koplak  BPJS juga aku tdk setuju sebetulnya apalagi TAPERA lebih tdk setuju lagi dasar koplak.,Thread,http://www.youtube.com/@AK-ee8cb,UCESMnnQJZzg651i7QW8nBcw,2024-06-03T11:55:26Z,,,,0
UgxMbodxL8OjGCnUyVV4AaABAg,2024-06-03T11:52:21Z,@nanangsafrudin7181,sekali ga dipercaya seumur hidup ga dipercaya.  sekali kurupsi seterusnya akan korupsi. tolaaaak kebijakan menyengsarakan rakyat.,Thread,http://www.youtube.com/@nanangsafrudin7181,UCZmy7fVjKUK-FZgOnU-xmIg,2024-06-03T11:52:21Z,,,,0
